Latitude,Longitude,Rainfall,GW_Recharge,GW_Extraction,Extraction_Stage_Perc,Prev_GW,GW_Level
23.62417,72.43694,764.9,114939.73,125396.49,114.84,14.0,11.9
23.56556,72.44417,764.9,114939.73,125396.49,114.84,26.3,24.5
23.69,72.31,764.9,114939.73,125396.49,114.84,65.4,65.4
23.69167,72.315,764.9,114939.73,125396.49,114.84,14.6,13.7
23.52,72.42,764.9,114939.73,125396.49,114.84,53.1,52.5
23.52,72.42,764.9,114939.73,125396.49,114.84,80.2,79.4
23.43,72.42,764.9,114939.73,125396.49,114.84,109.6,102.6
23.57,72.42,764.9,114939.73,125396.49,114.84,59.3,60.3
23.57778,72.28889,764.9,114939.73,125396.49,114.84,7.91,2.83
23.51028,72.51917,764.9,114939.73,125396.49,114.84,8.6,7.09
23.51028,72.51917,764.9,114939.73,125396.49,114.84,8.1,6.3
23.68444,72.405,764.9,114939.73,125396.49,114.84,16.5,16.0
23.59944,72.315,764.9,114939.73,125396.49,114.84,33.4,33.3
23.5225,72.53333,764.9,114939.73,125396.49,114.84,10.52,10.36
23.5225,72.53333,764.9,114939.73,125396.49,114.84,11.3,10.2
23.62917,72.34167,764.9,114939.73,125396.49,114.84,6.05,3.15
23.65472,72.42778,764.9,114939.73,125396.49,114.84,6.6,5.8
23.55,72.32,764.9,114939.73,125396.49,114.84,52.8,68.0
24.00528,72.84278,764.9,114939.73,125396.49,114.84,12.2,11.25
23.97306,72.82722,764.9,114939.73,125396.49,114.84,10.9,8.2
24.04917,72.76944,764.9,114939.73,125396.49,114.84,20.9,15.9
24.07,72.77,764.9,114939.73,125396.49,114.84,10.8,6.5
24.03,72.69,764.9,114939.73,125396.49,114.84,21.0,20.3
23.99,72.76,764.9,114939.73,125396.49,114.84,17.1,9.8
24.025,72.72222,764.9,114939.73,125396.49,114.84,20.1,16.7
23.80361,72.39667,764.9,114939.73,125396.49,114.84,8.0,7.7
23.86694,72.445,764.9,114939.73,125396.49,114.84,15.7,15.4
23.84167,72.45,764.9,114939.73,125396.49,114.84,5.63,6.16
23.86,72.4,764.9,114939.73,125396.49,114.84,109.3,105.9
23.8,72.49,764.9,114939.73,125396.49,114.84,83.1,73.4
23.79825,72.49088,764.9,114939.73,125396.49,114.84,140.0,131.13
23.8035,72.48649,764.9,114939.73,125396.49,114.84,10.69,12.34
23.8033,72.48639,764.9,114939.73,125396.49,114.84,40.76,40.0
23.86,72.47,764.9,114939.73,125396.49,114.84,87.4,85.2
23.83,72.37,764.9,114939.73,125396.49,114.84,180.0,173.35
23.83,72.37,764.9,114939.73,125396.49,114.84,176.65,176.55
23.83,72.37,764.9,114939.73,125396.49,114.84,174.4,176.95
23.75,72.33,764.9,114939.73,125396.49,114.84,78.1,77.8
23.74722,72.32556,764.9,114939.73,125396.49,114.84,13.6,13.4
23.82,72.47,764.9,114939.73,125396.49,114.84,70.3,68.6
23.8,72.34833,764.9,114939.73,125396.49,114.84,11.7,8.5
23.8,72.35,764.9,114939.73,125396.49,114.84,13.46,11.62
23.8,72.32,764.9,114939.73,125396.49,114.84,111.55,110.4
23.8,72.32,764.9,114939.73,125396.49,114.84,180.3,176.3
23.8,72.32,764.9,114939.73,125396.49,114.84,181.1,184.6
23.85,72.34,764.9,114939.73,125396.49,114.84,90.8,90.3
23.79,72.64,764.9,114939.73,125396.49,114.84,2.75,1.95
23.79093,72.65015,764.9,114939.73,125396.49,114.84,5.5,4.7
23.78528,72.64167,764.9,114939.73,125396.49,114.84,68.9,67.5
23.82361,72.53472,764.9,114939.73,125396.49,114.84,14.58,13.64
23.82376,72.61525,764.9,114939.73,125396.49,114.84,9.4,8.5
23.82386,72.61525,764.9,114939.73,125396.49,114.84,62.9,53.7
23.85,72.76,764.9,114939.73,125396.49,114.84,21.2,21.1
